,Class0,Class1,Class2,Class3,Class4
0,0,1,0,1,1
1,0,0,1,1,1
2,1,1,0,0,1
3,1,0,0,1,1
4,1,1,0,1,0
5,1,1,0,0,1
6,1,1,0,0,1
7,0,1,0,1,1
8,1,0,1,0,1
9,0,1,1,1,0
10,1,1,0,1,0
11,1,0,0,1,1
12,1,0,1,1,0
13,0,0,1,1,1
14,0,1,1,1,0
15,0,1,1,1,0
16,0,1,1,1,0
17,1,0,1,1,0
18,1,0,0,1,1
19,1,1,0,1,0
20,1,0,1,0,1
21,0,1,1,1,0
22,0,0,1,1,1
23,0,0,1,1,1
24,1,1,0,1,0
25,1,0,0,1,1
26,0,1,0,1,1
27,1,0,1,1,0
28,1,1,0,1,0
29,1,1,0,1,0
30,0,0,1,1,1
31,1,1,0,1,0
32,1,0,1,0,1
33,0,1,1,1,0
34,1,1,0,0,1
35,1,1,1,0,0
36,0,0,1,1,1
37,0,1,1,0,1
38,0,1,1,0,1
39,0,1,1,1,0
40,0,1,0,1,1
41,0,1,1,0,1
42,1,1,0,1,0
43,1,1,1,0,0
44,1,1,0,0,1
45,0,1,0,1,1
46,0,1,1,0,1
47,1,0,1,1,0
48,1,1,0,0,1
49,1,1,0,1,0
50,0,0,1,1,1
51,0,1,1,1,0
52,1,1,1,0,0
53,1,1,0,1,0
54,1,0,0,1,1
55,1,1,0,0,1
56,0,1,1,1,0
57,0,1,0,1,1
58,1,1,0,1,0
59,1,0,0,1,1
60,0,1,1,1,0
61,0,1,1,1,0
62,0,1,1,0,1
63,1,0,0,1,1
64,1,1,0,1,0
65,1,0,0,1,1
66,0,1,0,1,1
67,1,1,0,0,1
68,1,0,0,1,1
69,1,0,1,0,1
70,0,1,1,1,0
71,1,0,1,1,0
72,0,1,1,0,1
73,1,0,1,0,1
74,1,1,0,1,0
75,1,1,0,0,1
76,1,1,1,0,0
77,0,1,1,1,0
78,1,0,1,0,1
79,0,1,1,1,0
80,1,0,1,1,0
81,1,1,1,0,0
82,1,1,1,0,0
83,1,0,1,0,1
84,1,1,0,0,1
85,0,1,1,0,1
86,0,1,0,1,1
87,0,1,0,1,1
88,0,0,1,1,1
89,1,0,0,1,1
90,1,1,1,0,0
91,1,0,0,1,1
92,0,1,1,1,0
93,0,1,1,1,0
94,1,0,1,1,0
95,0,1,1,1,0
96,0,1,1,1,0
97,1,1,1,0,0
98,1,1,0,0,1
99,1,0,1,1,0
