,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
5,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0
6,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
7,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
8,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
9,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
10,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
11,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
12,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
13,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
14,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
15,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
16,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
18,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
19,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
20,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
21,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0
22,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
23,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
24,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
25,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
26,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
27,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1
28,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1
29,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
30,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
31,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
32,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
33,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
34,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
35,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
36,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
37,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
38,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0
