,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Spanish,Optimization,Business,Social Science,Chemistry,Chinese,0,0
1,Aero Engineering,Astro Engineering,French,Political Science,Chorus1,Chorus2,0,1
2,French,Spanish,Social Science,History,Biology,Astro Engineering,1,0
3,Biology,Business,Algebra,Political Science,History,English,1,0
4,Business,Optimization,French,English,Physics,Spanish,0,0
5,Business,Social Science,Machine Learning,Biology,Astro Engineering,Optimization,0,0
6,Political Science,Business,Machine Learning,English,Chinese,Social Science,0,0
7,Political Science,Social Science,Algebra,Spanish,Physics,French,0,0
8,Machine Learning,Spanish,Astro Engineering,Social Science,Biology,English,0,0
9,English,Political Science,Algebra,Business,Chorus1,Chorus2,0,1
10,Spanish,Business,Chemistry,Chinese,Physics,Political Science,0,0
11,Physics,Aero Engineering,Algebra,Social Science,Political Science,Machine Learning,0,0
12,Spanish,Biology,Chinese,Optimization,Social Science,Chemistry,0,0
13,Physics,English,Biology,Chemistry,Aero Engineering,French,0,0
14,Political Science,Chinese,English,French,Astro Engineering,Business,1,0
15,History,Optimization,French,Political Science,Chinese,Physics,0,0
16,Social Science,Spanish,Physics,Business,Political Science,Chinese,0,0
17,Business,Astro Engineering,Physics,Political Science,Spanish,Biology,0,0
18,Business,Astro Engineering,Chemistry,Chinese,History,Spanish,1,0
19,Social Science,Algebra,English,French,Chorus1,Chorus2,0,1
20,Physics,Machine Learning,Chinese,Business,Chorus1,Chorus2,0,1
21,History,Political Science,Spanish,French,Machine Learning,Business,0,0
22,Physics,Political Science,Chinese,Chemistry,Machine Learning,Astro Engineering,0,0
23,French,History,Spanish,Chinese,Machine Learning,Business,1,0
24,Business,Astro Engineering,Aero Engineering,Social Science,Machine Learning,Spanish,1,0
25,Astro Engineering,Optimization,Machine Learning,English,Chorus1,Chorus2,0,1
26,French,Biology,Business,Chemistry,Physics,History,0,0
27,Algebra,Social Science,Biology,Spanish,Machine Learning,Astro Engineering,0,0
28,Social Science,Physics,Spanish,Business,Chorus1,Chorus2,0,1
29,Social Science,History,Optimization,Astro Engineering,French,Chinese,1,0
30,Machine Learning,Optimization,Spanish,Aero Engineering,Astro Engineering,Business,0,0
31,Biology,Chemistry,Social Science,English,Machine Learning,French,0,0
32,Spanish,Business,Algebra,Physics,Social Science,Chemistry,1,0
33,History,Political Science,Machine Learning,Optimization,Spanish,Astro Engineering,0,0
34,Algebra,English,Physics,Business,Chorus1,Chorus2,0,1
35,Aero Engineering,Algebra,Optimization,Spanish,French,History,0,0
36,Social Science,Political Science,French,History,Machine Learning,Chinese,1,0
37,Social Science,Optimization,History,French,Chinese,Algebra,1,0
38,Astro Engineering,Business,Biology,Social Science,Aero Engineering,Physics,0,0
39,English,Optimization,History,Physics,Astro Engineering,French,1,0
40,Biology,Chinese,Spanish,Algebra,Machine Learning,Social Science,1,0
41,Optimization,French,Physics,Biology,Astro Engineering,Political Science,0,0
42,Political Science,Optimization,Social Science,Chinese,Physics,History,0,0
43,Chemistry,French,Aero Engineering,Machine Learning,Algebra,Astro Engineering,0,0
44,Machine Learning,Astro Engineering,Optimization,Social Science,Biology,Chinese,1,0
45,Aero Engineering,Optimization,Machine Learning,Biology,Chinese,Business,0,0
46,Business,Aero Engineering,History,English,French,Chinese,1,0
47,Optimization,Machine Learning,Physics,Business,Chemistry,Aero Engineering,1,0
48,Chemistry,Spanish,Optimization,Social Science,Astro Engineering,Biology,0,0
49,Algebra,Political Science,Social Science,Physics,English,Chemistry,0,0
50,Algebra,Spanish,Social Science,Biology,Chemistry,Physics,0,0
51,Chemistry,History,Spanish,Chinese,Chorus1,Chorus2,0,1
52,Spanish,Chinese,English,Aero Engineering,History,Machine Learning,1,0
53,Political Science,Biology,Spanish,Optimization,Machine Learning,Chemistry,0,0
54,Aero Engineering,Astro Engineering,English,Optimization,Political Science,Biology,0,0
55,Physics,Chemistry,Spanish,Astro Engineering,French,Optimization,0,0
56,Astro Engineering,Business,Spanish,Biology,Chinese,Algebra,0,0
57,Chinese,Chemistry,Optimization,Spanish,Algebra,Physics,0,0
58,Political Science,Machine Learning,Astro Engineering,Aero Engineering,Chorus1,Chorus2,0,1
59,Optimization,Business,Physics,English,Astro Engineering,Biology,1,0
60,Chinese,Political Science,English,Physics,History,Business,0,0
61,History,Astro Engineering,Aero Engineering,Chinese,Optimization,French,0,0
62,Chinese,Biology,French,Algebra,Chorus1,Chorus2,0,1
63,Astro Engineering,Biology,History,Chinese,Spanish,Political Science,0,0
64,Chemistry,Physics,English,Chinese,French,Machine Learning,0,0
65,Biology,Social Science,Aero Engineering,Chinese,Chemistry,Political Science,1,0
66,Algebra,History,Spanish,Social Science,Machine Learning,Optimization,0,0
67,History,Physics,Optimization,French,English,Astro Engineering,0,0
68,Optimization,Biology,Aero Engineering,Machine Learning,Chorus1,Chorus2,0,1
69,Spanish,Machine Learning,History,Chinese,Algebra,Aero Engineering,0,0
70,Algebra,Chinese,English,Physics,Chorus1,Chorus2,0,1
71,Algebra,Spanish,Physics,Political Science,Aero Engineering,History,0,0
72,Algebra,Optimization,Machine Learning,Aero Engineering,Chorus1,Chorus2,0,1
73,Chemistry,Chinese,Algebra,English,Social Science,Astro Engineering,1,0
74,Machine Learning,Algebra,Optimization,Physics,Chinese,English,0,0
75,Business,Social Science,Spanish,Astro Engineering,Chemistry,Physics,1,0
76,Social Science,Physics,Algebra,Chinese,Business,History,1,0
