,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Algebra,French,Spanish,Physics,Social Science,Chemistry,0,0
1,Chinese,French,Business,Aero Engineering,Political Science,Chemistry,0,0
2,Chemistry,French,Biology,History,English,Astro Engineering,1,0
3,Algebra,Political Science,Business,Physics,Chorus1,Chorus2,0,1
4,English,Optimization,Astro Engineering,French,Physics,Machine Learning,0,0
5,Chemistry,Chinese,Optimization,Physics,Business,Aero Engineering,0,0
6,French,Business,Optimization,Physics,Chorus1,Chorus2,0,1
7,Biology,English,Machine Learning,Algebra,Optimization,Political Science,0,0
8,Aero Engineering,Physics,Business,History,Machine Learning,Political Science,0,0
9,Social Science,Algebra,Physics,History,Business,Optimization,0,0
10,Optimization,English,Chinese,Political Science,Chemistry,History,1,0
11,Chinese,Aero Engineering,French,Optimization,Social Science,Physics,0,0
12,Astro Engineering,Optimization,Social Science,Business,Physics,History,1,0
13,History,Social Science,Spanish,Chinese,Chorus1,Chorus2,0,1
14,Algebra,History,Chemistry,English,Chorus1,Chorus2,0,1
15,Political Science,Chinese,Algebra,Aero Engineering,English,Business,0,0
16,Social Science,English,Algebra,Astro Engineering,Machine Learning,Chinese,0,0
17,History,Political Science,Algebra,Machine Learning,Chorus1,Chorus2,0,1
18,English,Social Science,Spanish,Biology,Chorus1,Chorus2,0,1
19,French,Astro Engineering,Chemistry,Optimization,Spanish,Aero Engineering,0,0
20,Chemistry,Aero Engineering,Algebra,Spanish,Physics,Machine Learning,0,0
21,Political Science,Optimization,French,Physics,Business,Biology,0,0
22,Social Science,Political Science,History,Spanish,Physics,Optimization,0,0
23,Aero Engineering,Astro Engineering,Spanish,Business,Chinese,History,0,0
24,Optimization,Machine Learning,Political Science,Physics,Chorus1,Chorus2,0,1
25,Business,Machine Learning,History,Astro Engineering,Aero Engineering,Social Science,0,0
26,History,Machine Learning,Algebra,Astro Engineering,French,Physics,0,0
27,Astro Engineering,French,Machine Learning,Optimization,Business,Political Science,0,0
28,Social Science,Chinese,Chemistry,Astro Engineering,French,Political Science,1,0
29,Social Science,Spanish,Physics,Chinese,Chemistry,English,0,0
30,Social Science,Algebra,Chemistry,Biology,Chorus1,Chorus2,0,1
31,Spanish,Business,Political Science,Chemistry,Chorus1,Chorus2,0,1
32,Aero Engineering,History,Political Science,Machine Learning,Optimization,Business,0,0
33,Business,French,English,Chemistry,Astro Engineering,Machine Learning,0,0
34,Chinese,Social Science,Biology,Algebra,Physics,Business,1,0
35,Biology,French,Political Science,History,Chorus1,Chorus2,0,1
36,French,English,Aero Engineering,Astro Engineering,Chorus1,Chorus2,0,1
37,Machine Learning,Physics,French,Aero Engineering,Chinese,Biology,0,0
38,Social Science,Biology,French,Chemistry,Political Science,Algebra,1,0
39,Business,Algebra,Political Science,Astro Engineering,Optimization,Chinese,0,0
40,Physics,Algebra,Business,Astro Engineering,Chemistry,History,0,0
41,Business,Algebra,Aero Engineering,Machine Learning,Astro Engineering,Chemistry,1,0
42,History,Political Science,French,Astro Engineering,Biology,Machine Learning,1,0
43,Algebra,Aero Engineering,Social Science,Chemistry,French,Chinese,0,0
44,Biology,Aero Engineering,History,Spanish,Optimization,Chinese,1,0
45,Spanish,Algebra,Chemistry,Political Science,Aero Engineering,French,0,0
46,Physics,Spanish,Astro Engineering,Algebra,Chinese,Machine Learning,0,0
47,English,Astro Engineering,Aero Engineering,Physics,Business,Political Science,1,0
48,Spanish,Chinese,Chemistry,Algebra,Machine Learning,English,0,0
49,Chemistry,Spanish,Astro Engineering,Biology,Optimization,English,0,0
50,Chinese,Social Science,Aero Engineering,Physics,History,Astro Engineering,1,0
51,Astro Engineering,Business,Physics,Chemistry,French,Optimization,0,0
52,Optimization,Spanish,Physics,Chemistry,Astro Engineering,Algebra,0,0
53,Algebra,French,Chinese,Social Science,Astro Engineering,Political Science,0,0
54,Biology,Chemistry,Aero Engineering,Social Science,Political Science,Machine Learning,0,0
55,Chemistry,Spanish,Business,Aero Engineering,Social Science,Political Science,0,0
56,Political Science,Machine Learning,Biology,Astro Engineering,History,Spanish,1,0
57,Chinese,Social Science,Aero Engineering,Optimization,Physics,English,1,0
58,English,Astro Engineering,Chemistry,Social Science,Physics,Optimization,0,0
59,Chinese,Machine Learning,Business,Political Science,Optimization,Chemistry,1,0
60,French,Chinese,English,Social Science,Spanish,Optimization,0,0
61,History,Physics,Social Science,Spanish,Chorus1,Chorus2,0,1
62,Machine Learning,Biology,Chinese,Social Science,Optimization,Algebra,0,0
63,Chemistry,Spanish,French,Astro Engineering,Chorus1,Chorus2,0,1
64,History,Social Science,Aero Engineering,Biology,French,Chinese,0,0
65,Biology,Business,Chinese,Spanish,History,English,0,0
66,Machine Learning,Business,Aero Engineering,History,Spanish,Optimization,1,0
67,Political Science,Chinese,English,Machine Learning,Chorus1,Chorus2,0,1
68,English,History,Social Science,Algebra,Spanish,French,1,0
69,Aero Engineering,French,Astro Engineering,Optimization,Physics,Business,0,0
70,History,Biology,English,Chemistry,Social Science,Spanish,0,0
71,French,Algebra,Biology,Business,History,Aero Engineering,0,0
72,Algebra,Machine Learning,Biology,Social Science,Chinese,Astro Engineering,0,0
73,History,French,Physics,Social Science,Biology,Aero Engineering,1,0
74,Astro Engineering,Spanish,Algebra,Social Science,Chorus1,Chorus2,0,1
75,English,Optimization,Spanish,History,Chinese,Astro Engineering,0,0
76,Astro Engineering,Physics,Biology,Chinese,Aero Engineering,Social Science,1,0
77,Physics,Algebra,French,Chinese,History,Spanish,0,0
78,Chinese,Business,Algebra,Biology,French,English,1,0
79,Social Science,History,Biology,Machine Learning,Chorus1,Chorus2,0,1
80,French,Optimization,Chemistry,English,Chorus1,Chorus2,0,1
81,Chemistry,Algebra,Spanish,Chinese,Optimization,History,0,0
82,Aero Engineering,Optimization,Machine Learning,Astro Engineering,Chorus1,Chorus2,0,1
83,Algebra,Biology,French,Social Science,History,Chinese,1,0
84,Spanish,Machine Learning,English,Biology,Political Science,Optimization,0,0
85,History,Biology,Chemistry,Business,French,Chinese,0,0
86,Physics,Biology,English,Machine Learning,Chinese,Astro Engineering,0,0
87,Machine Learning,Physics,Chinese,Aero Engineering,Optimization,History,0,0
88,Chemistry,Chinese,Optimization,Physics,Social Science,Astro Engineering,1,0
89,Spanish,Chinese,Biology,Physics,Machine Learning,Social Science,0,0
90,Political Science,History,Physics,Chemistry,Machine Learning,Algebra,0,0
91,Social Science,Business,Algebra,Political Science,Spanish,Optimization,1,0
92,Physics,Political Science,English,Chinese,Chorus1,Chorus2,0,1
93,Political Science,Spanish,Astro Engineering,Algebra,Physics,English,1,0
94,Spanish,Business,Political Science,Algebra,Chorus1,Chorus2,0,1
95,Optimization,Algebra,Biology,Aero Engineering,Chemistry,Spanish,0,0
96,History,Aero Engineering,Biology,Political Science,Chorus1,Chorus2,0,1
97,Algebra,Aero Engineering,Spanish,Machine Learning,Chorus1,Chorus2,0,1
98,Aero Engineering,Spanish,Chemistry,Political Science,French,Chinese,0,0
99,Social Science,Biology,French,Algebra,Machine Learning,Aero Engineering,1,0
100,English,French,Political Science,Chinese,Machine Learning,Spanish,1,0
101,Social Science,Biology,French,Spanish,Chemistry,Machine Learning,0,0
102,English,French,Business,Machine Learning,Biology,Political Science,0,0
103,Spanish,Algebra,Social Science,Aero Engineering,Astro Engineering,Machine Learning,1,0
104,Political Science,Biology,Algebra,Physics,Chorus1,Chorus2,0,1
105,French,Aero Engineering,Algebra,Chemistry,English,Business,1,0
106,History,Astro Engineering,Spanish,Social Science,French,Optimization,1,0
107,Business,Biology,History,Optimization,Social Science,Political Science,1,0
108,Chemistry,Spanish,Chinese,History,Aero Engineering,English,1,0
109,Optimization,Chinese,Chemistry,Political Science,French,Spanish,0,0
110,Physics,Social Science,History,Astro Engineering,Optimization,Business,0,0
111,Spanish,Physics,Aero Engineering,Chinese,Machine Learning,English,0,0
112,Business,English,Biology,Algebra,History,Spanish,1,0
113,English,Spanish,Machine Learning,Optimization,Algebra,Chinese,0,0
114,Astro Engineering,English,Biology,French,Algebra,Business,0,0
115,Chinese,Social Science,Business,Optimization,Political Science,Astro Engineering,1,0
116,Spanish,Aero Engineering,French,Optimization,Chemistry,Political Science,1,0
117,Physics,Political Science,English,Optimization,History,Aero Engineering,1,0
118,Business,Chinese,Astro Engineering,Machine Learning,Aero Engineering,Chemistry,0,0
119,French,Political Science,Social Science,English,Chorus1,Chorus2,0,1
120,Aero Engineering,Spanish,English,Biology,Physics,Machine Learning,0,0
121,Physics,Political Science,Astro Engineering,Machine Learning,Chorus1,Chorus2,0,1
122,Political Science,French,Astro Engineering,Spanish,Chorus1,Chorus2,0,1
123,Business,English,Astro Engineering,History,Social Science,Machine Learning,0,0
124,English,Spanish,Optimization,Algebra,Chemistry,Physics,0,0
125,Spanish,Algebra,Biology,Chinese,Chemistry,Social Science,0,0
126,Chinese,Physics,Business,Political Science,Social Science,Optimization,0,0
127,History,Chinese,Physics,Political Science,Chorus1,Chorus2,0,1
128,Biology,Optimization,French,Chemistry,Political Science,Spanish,1,0
129,Social Science,English,Aero Engineering,French,Spanish,Optimization,0,0
130,French,Chinese,Political Science,Social Science,Machine Learning,Algebra,0,0
131,English,History,Business,Aero Engineering,Chemistry,French,1,0
132,Machine Learning,Chinese,Social Science,Chemistry,Aero Engineering,Physics,1,0
133,Optimization,Spanish,Chinese,Chemistry,Machine Learning,Social Science,0,0
134,Chemistry,Physics,French,Biology,Chorus1,Chorus2,0,1
135,Chinese,Astro Engineering,Political Science,Optimization,Aero Engineering,Physics,0,0
136,Aero Engineering,Spanish,Astro Engineering,Business,Chorus1,Chorus2,0,1
137,Machine Learning,Spanish,Chinese,Business,English,Political Science,1,0
138,Biology,Algebra,Spanish,Chemistry,English,French,0,0
139,French,Biology,Algebra,Machine Learning,Social Science,Political Science,0,0
140,History,French,Chemistry,Biology,Algebra,Political Science,0,0
141,Algebra,Astro Engineering,Chinese,Biology,Optimization,Social Science,0,0
142,Political Science,Chemistry,History,Optimization,Astro Engineering,Machine Learning,0,0
143,Chemistry,Algebra,Aero Engineering,Political Science,Biology,Social Science,0,0
144,Biology,Chinese,Algebra,French,Chorus1,Chorus2,0,1
145,Spanish,Machine Learning,Business,Algebra,Astro Engineering,Aero Engineering,0,0
146,Spanish,Astro Engineering,English,Business,History,Machine Learning,0,0
147,English,Machine Learning,Social Science,Biology,Political Science,Algebra,0,0
148,Political Science,Aero Engineering,French,Physics,Biology,Optimization,0,0
