,Class,PeriodsA,PeriodsB
0,History,"[1, 6, 4, 0]","[7, 4, 0, 6]"
1,Biology,"[6, 2, 1]",[]
2,Chemistry,"[7, 0]","[5, 1]"
3,Physics,"[6, 4]",[]
4,English,"[3, 0, 4, 7]","[3, 7]"
5,Optimization,[],"[3, 5, 4]"
6,Machine Learning,"[5, 1, 6, 0]","[0, 3, 6, 7]"
7,Business,[],"[2, 0, 5]"
8,Astro Engineering,"[1, 7, 2, 6]","[6, 4, 2, 3]"
9,Aero Engineering,"[4, 6, 3, 7]","[7, 2, 0]"
10,Political Science,"[0, 5, 4, 1]","[5, 1]"
11,Social Science,"[6, 2, 3]","[6, 4, 2, 5]"
12,Chinese,"[3, 7]","[1, 6]"
13,French,"[2, 4, 0, 3]","[7, 1, 6]"
14,Spanish,"[7, 5]",[]
15,Algebra,"[2, 4]","[0, 5, 6]"
