,Class,PeriodsA,PeriodsB
0,History,[],"[3, 1, 5]"
1,Biology,"[1, 2, 4]",[]
2,Chemistry,"[3, 5]","[7, 6, 4]"
3,Physics,"[0, 4]","[6, 2, 5]"
4,English,[],"[2, 6]"
5,Optimization,[],"[7, 3, 0, 5]"
6,Machine Learning,"[6, 3, 2, 7]",[]
7,Business,"[4, 5, 1]","[2, 6]"
8,Astro Engineering,"[7, 5, 2, 1]","[3, 6, 5, 0]"
9,Aero Engineering,"[4, 6, 3]","[4, 5, 6, 7]"
10,Political Science,[],"[2, 6]"
11,Social Science,"[6, 4, 7]","[4, 7, 1]"
12,Chinese,"[6, 7]","[3, 1, 4, 0]"
13,French,"[2, 7]","[0, 5, 6]"
14,Spanish,"[2, 3, 7]","[6, 1, 7]"
15,Algebra,"[1, 5]",[]
