,Capacity
0,66
1,36
2,38
3,30
4,46
5,59
6,51
7,49
8,36
9,61
10,65
11,64
12,41
13,63
14,48
15,49
16,70
17,68
18,35
19,53
20,67
21,66
22,36
23,58
24,59
25,44
26,48
27,51
28,47
29,58
30,54
31,65
32,52
33,52
34,68
35,49
36,31
37,43
38,35
39,53
40,47
41,51
42,42
43,32
44,38
45,59
46,64
47,33
48,62
49,55
50,38
51,54
52,34
53,34
54,51
55,46
56,67
57,67
58,56
59,39
60,46
61,60
62,53
63,40
64,41
65,63
66,52
67,32
68,34
69,34
70,39
71,48
72,49
73,62
74,52
75,42
76,46
77,64
78,68
79,59
80,62
81,47
82,63
83,63
84,39
85,37
86,34
87,68
88,44
89,46
90,33
91,57
92,64
93,37
94,68
95,47
96,59
97,32
98,53
99,43
100,56
101,45
102,35
103,40
104,31
105,49
106,42
107,54
108,31
109,69
110,51
111,62
112,64
113,55
114,43
115,41
116,36
117,46
118,51
119,55
120,33
121,66
122,33
123,67
124,30
125,66
126,38
127,35
128,31
129,57
130,35
131,61
132,58
