,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Aero Engineering,Chinese,Biology,English,History,Physics,0,0
1,Optimization,French,Physics,Machine Learning,Chorus1,Chorus2,0,1
2,Machine Learning,Spanish,Chemistry,Biology,English,Business,1,0
3,Astro Engineering,Biology,Algebra,Optimization,Chorus1,Chorus2,0,1
4,Astro Engineering,Aero Engineering,Physics,Biology,Algebra,French,0,0
5,History,Social Science,Algebra,Political Science,Chinese,Optimization,0,0
6,Biology,English,History,Spanish,Chorus1,Chorus2,0,1
7,Chinese,French,Optimization,English,Chorus1,Chorus2,0,1
8,Physics,Social Science,Chinese,Chemistry,Aero Engineering,Political Science,0,0
9,Chinese,Aero Engineering,History,Social Science,Biology,Political Science,0,0
10,Machine Learning,Chinese,Aero Engineering,Business,Algebra,Spanish,1,0
11,Optimization,Spanish,English,History,Chorus1,Chorus2,0,1
12,Social Science,Optimization,Business,English,Machine Learning,History,0,0
13,Political Science,Optimization,English,Chinese,Aero Engineering,Algebra,0,0
14,Chemistry,Physics,French,Algebra,Biology,English,1,0
15,Biology,Social Science,French,Algebra,Chorus1,Chorus2,0,1
16,Spanish,Business,Astro Engineering,Social Science,English,French,1,0
17,Algebra,Optimization,Astro Engineering,Machine Learning,Political Science,Biology,0,0
18,Chinese,Chemistry,History,Biology,French,Optimization,1,0
19,Biology,Optimization,Machine Learning,Chemistry,Political Science,Social Science,1,0
20,English,History,Physics,Political Science,Astro Engineering,Algebra,0,0
21,Algebra,English,Astro Engineering,Machine Learning,Political Science,Optimization,0,0
22,Machine Learning,French,Biology,Chemistry,Business,Algebra,0,0
23,Business,Aero Engineering,History,Machine Learning,Political Science,Chemistry,0,0
24,History,Astro Engineering,French,Aero Engineering,Political Science,Optimization,1,0
25,Aero Engineering,Chinese,Spanish,Business,Machine Learning,Optimization,0,0
26,English,Spanish,Astro Engineering,Chinese,Chorus1,Chorus2,0,1
27,Machine Learning,Biology,Spanish,Political Science,Social Science,Aero Engineering,0,0
28,Chinese,History,Chemistry,Optimization,Spanish,Biology,1,0
29,Algebra,History,French,English,Political Science,Chemistry,0,0
30,Chinese,Machine Learning,French,Biology,Optimization,Chemistry,0,0
31,French,Optimization,Business,Physics,Social Science,Aero Engineering,0,0
32,English,Physics,Algebra,Aero Engineering,Political Science,Spanish,1,0
33,Physics,Machine Learning,History,Algebra,Chorus1,Chorus2,0,1
34,Biology,Business,Spanish,History,Chinese,Algebra,0,0
35,Aero Engineering,Physics,Political Science,Spanish,French,Social Science,0,0
36,Political Science,Spanish,Astro Engineering,Physics,Chorus1,Chorus2,0,1
37,Aero Engineering,Social Science,Political Science,Chinese,Machine Learning,Spanish,0,0
38,Physics,Business,Machine Learning,Astro Engineering,Biology,Social Science,0,0
39,Machine Learning,Biology,Physics,English,Chorus1,Chorus2,0,1
40,Biology,English,History,Chemistry,Chorus1,Chorus2,0,1
41,Physics,History,Optimization,Chinese,Chemistry,Spanish,1,0
42,Biology,Spanish,Astro Engineering,Political Science,English,Optimization,0,0
43,Chinese,Political Science,English,History,Astro Engineering,Algebra,0,0
44,Social Science,Biology,Physics,Business,Chemistry,Chinese,0,0
45,Algebra,English,Machine Learning,French,Astro Engineering,Optimization,0,0
46,History,Aero Engineering,Chinese,Physics,Biology,Spanish,0,0
47,Chemistry,Algebra,Astro Engineering,Physics,History,Business,0,0
48,Chemistry,Machine Learning,Aero Engineering,Biology,Spanish,Business,0,0
49,History,Spanish,English,Optimization,Chinese,Social Science,1,0
50,Chinese,Business,Aero Engineering,French,Machine Learning,Algebra,0,0
51,History,Chinese,Aero Engineering,Biology,French,Algebra,1,0
52,Biology,Astro Engineering,Business,English,Algebra,Spanish,1,0
