,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Machine Learning,Spanish,Biology,Social Science,English,Aero Engineering,0,0
1,Business,Machine Learning,English,Physics,Spanish,Astro Engineering,0,0
2,Social Science,Astro Engineering,Algebra,Physics,Biology,English,1,0
3,Chemistry,Aero Engineering,Biology,Social Science,Business,Political Science,0,0
4,Biology,Business,Political Science,History,French,Spanish,1,0
5,English,French,Physics,Astro Engineering,Political Science,Chinese,1,0
6,Algebra,History,French,Astro Engineering,Business,Aero Engineering,0,0
7,Astro Engineering,Algebra,Political Science,Spanish,French,Social Science,1,0
8,English,Social Science,Business,Astro Engineering,Political Science,Optimization,0,0
9,Chemistry,Aero Engineering,English,Astro Engineering,Political Science,Biology,0,0
10,English,French,Aero Engineering,Biology,Chemistry,Algebra,0,0
11,French,Chinese,History,Business,Astro Engineering,Aero Engineering,0,0
12,Machine Learning,Chinese,Spanish,English,Chemistry,Business,0,0
13,Spanish,Optimization,Aero Engineering,Chinese,Chemistry,Social Science,0,0
14,Business,History,Spanish,Physics,Chorus1,Chorus2,0,1
15,French,Optimization,Algebra,History,Chorus1,Chorus2,0,1
16,Chemistry,Chinese,French,Social Science,Spanish,Optimization,0,0
17,Machine Learning,Political Science,Optimization,Biology,Chinese,English,1,0
18,French,Social Science,Business,Aero Engineering,Machine Learning,Political Science,0,0
19,Biology,Social Science,Machine Learning,Optimization,Business,History,1,0
20,Optimization,Biology,Business,Astro Engineering,Chorus1,Chorus2,0,1
21,Chinese,French,Aero Engineering,Biology,Political Science,Machine Learning,0,0
22,Biology,Optimization,Business,Physics,Political Science,Aero Engineering,1,0
23,Political Science,Social Science,Algebra,Optimization,Chemistry,Astro Engineering,1,0
24,Chemistry,Physics,Business,Political Science,Algebra,Astro Engineering,0,0
25,Spanish,Aero Engineering,French,Chemistry,Social Science,Biology,0,0
26,Aero Engineering,Business,Algebra,Chinese,Optimization,Physics,0,0
27,Social Science,Political Science,Chinese,History,Algebra,Optimization,0,0
28,Machine Learning,Political Science,Optimization,French,Business,Physics,1,0
29,Social Science,English,Chinese,Business,Chorus1,Chorus2,0,1
30,Machine Learning,Aero Engineering,French,Algebra,Chorus1,Chorus2,0,1
31,Astro Engineering,English,French,Political Science,Biology,Machine Learning,0,0
32,Chinese,Optimization,Spanish,French,History,Business,0,0
33,History,Machine Learning,Algebra,Aero Engineering,Biology,Social Science,0,0
34,Social Science,Astro Engineering,Business,Aero Engineering,Chorus1,Chorus2,0,1
35,Chinese,English,French,Optimization,Aero Engineering,Algebra,0,0
36,History,Biology,Aero Engineering,Chinese,Chorus1,Chorus2,0,1
37,Optimization,French,Biology,Algebra,English,Aero Engineering,0,0
38,History,Aero Engineering,Political Science,Physics,French,Biology,0,0
39,Biology,Political Science,Aero Engineering,Optimization,Algebra,Physics,1,0
40,Business,History,Algebra,Aero Engineering,Chinese,Social Science,1,0
41,Biology,Political Science,Chemistry,Algebra,Chorus1,Chorus2,0,1
42,Aero Engineering,Algebra,Chemistry,Biology,Chorus1,Chorus2,0,1
43,French,English,Aero Engineering,History,Chemistry,Business,0,0
44,Business,Spanish,Physics,Algebra,Chorus1,Chorus2,0,1
45,Chemistry,Machine Learning,Chinese,Spanish,Chorus1,Chorus2,0,1
46,Spanish,Astro Engineering,Social Science,Physics,Optimization,Machine Learning,0,0
47,Physics,Spanish,Chemistry,Business,Algebra,French,0,0
48,Optimization,Chemistry,Algebra,Physics,Chorus1,Chorus2,0,1
49,Optimization,Business,Spanish,Physics,Chorus1,Chorus2,0,1
50,Chinese,History,Political Science,Machine Learning,Business,Astro Engineering,1,0
51,Political Science,Spanish,Physics,Astro Engineering,English,Optimization,0,0
52,Political Science,Machine Learning,Spanish,English,Chorus1,Chorus2,0,1
53,Business,Chinese,Physics,Social Science,Machine Learning,Astro Engineering,0,0
54,Political Science,Physics,Chemistry,Astro Engineering,Chorus1,Chorus2,0,1
55,Physics,Chinese,Optimization,History,Chorus1,Chorus2,0,1
56,History,Machine Learning,Business,Political Science,Social Science,Optimization,1,0
57,French,Astro Engineering,Business,English,Biology,Algebra,0,0
58,French,Chinese,Physics,Aero Engineering,Social Science,Machine Learning,1,0
59,History,Physics,Machine Learning,Aero Engineering,Chorus1,Chorus2,0,1
60,Chinese,French,Machine Learning,History,Algebra,Biology,0,0
61,Physics,Astro Engineering,French,Aero Engineering,Chemistry,Political Science,1,0
62,Business,Machine Learning,Astro Engineering,Aero Engineering,Algebra,Social Science,0,0
63,Chemistry,Business,Spanish,Political Science,History,Biology,0,0
64,Chinese,Aero Engineering,French,English,Spanish,Chemistry,0,0
65,French,Aero Engineering,English,Algebra,Chemistry,Optimization,1,0
66,Machine Learning,Spanish,Biology,Aero Engineering,Chinese,Chemistry,0,0
67,Aero Engineering,Machine Learning,Political Science,Social Science,Physics,Business,0,0
68,Machine Learning,Optimization,Spanish,Biology,English,Physics,0,0
69,Spanish,Chinese,Political Science,Biology,History,English,0,0
70,English,Biology,Physics,History,Chorus1,Chorus2,0,1
71,Biology,Algebra,Astro Engineering,Business,Physics,History,0,0
72,Optimization,Biology,Political Science,Social Science,Business,History,1,0
73,Chinese,Astro Engineering,Social Science,Machine Learning,Chorus1,Chorus2,0,1
74,Chinese,Social Science,Business,English,Aero Engineering,Astro Engineering,0,0
75,Chinese,Political Science,History,Business,Algebra,Spanish,0,0
76,Aero Engineering,Business,French,Spanish,Chinese,Biology,0,0
77,Business,Biology,Social Science,Physics,Chemistry,Spanish,0,0
78,Aero Engineering,Political Science,French,Algebra,English,Physics,1,0
79,Algebra,Political Science,Social Science,Aero Engineering,Chorus1,Chorus2,0,1
80,History,Algebra,Astro Engineering,Biology,Social Science,Aero Engineering,1,0
81,History,Machine Learning,Astro Engineering,Chemistry,Business,Spanish,0,0
82,English,Spanish,Optimization,Social Science,Chorus1,Chorus2,0,1
83,Political Science,Physics,Astro Engineering,French,Chorus1,Chorus2,0,1
84,Political Science,Chemistry,Aero Engineering,Chinese,Astro Engineering,English,0,0
85,French,Algebra,Chemistry,Business,Chorus1,Chorus2,0,1
86,Optimization,Political Science,English,Chinese,Chemistry,Physics,0,0
87,Machine Learning,Chemistry,French,Aero Engineering,English,Political Science,1,0
88,Chinese,Chemistry,Optimization,Biology,Machine Learning,Aero Engineering,0,0
89,Aero Engineering,Spanish,Social Science,Chinese,Political Science,History,0,0
90,English,Physics,Astro Engineering,Business,Chorus1,Chorus2,0,1
91,Machine Learning,Political Science,History,Spanish,Astro Engineering,Business,0,0
92,Algebra,History,Biology,English,Business,Astro Engineering,0,0
93,Astro Engineering,Chemistry,Biology,Algebra,Political Science,Aero Engineering,0,0
94,Machine Learning,History,Aero Engineering,English,Algebra,Physics,0,0
95,Aero Engineering,Machine Learning,Business,History,Political Science,Biology,0,0
96,Spanish,Algebra,Physics,History,Chinese,Political Science,0,0
97,Physics,Spanish,Business,Algebra,Astro Engineering,Political Science,1,0
98,Physics,English,Biology,Machine Learning,History,Political Science,1,0
99,Optimization,English,Biology,History,Physics,Chinese,1,0
100,English,Machine Learning,Astro Engineering,Business,Chorus1,Chorus2,0,1
101,Optimization,Machine Learning,Spanish,Algebra,History,Chemistry,0,0
102,Algebra,History,Machine Learning,Chinese,Optimization,Business,0,0
103,Chemistry,Business,Algebra,Social Science,Political Science,Aero Engineering,0,0
104,Machine Learning,English,Physics,Astro Engineering,Chorus1,Chorus2,0,1
105,Biology,Social Science,Spanish,Chemistry,Chinese,Business,0,0
106,History,Business,Optimization,Spanish,Chorus1,Chorus2,0,1
107,Astro Engineering,Chinese,Physics,Biology,English,Optimization,0,0
108,Chemistry,English,Political Science,Spanish,Algebra,History,0,0
109,Astro Engineering,Chinese,Political Science,History,English,Business,0,0
110,Social Science,Business,Astro Engineering,Physics,Biology,History,0,0
111,Aero Engineering,Machine Learning,Chemistry,Spanish,Physics,French,0,0
112,Spanish,Political Science,History,Aero Engineering,Algebra,English,0,0
113,English,Chemistry,Business,Political Science,Chorus1,Chorus2,0,1
114,Aero Engineering,Chinese,Astro Engineering,Political Science,Machine Learning,Spanish,0,0
115,Spanish,Physics,Chinese,Chemistry,Social Science,Political Science,0,0
116,Algebra,Spanish,Aero Engineering,Political Science,Chinese,Physics,0,0
117,Business,Social Science,English,Chinese,Chorus1,Chorus2,0,1
118,History,Aero Engineering,French,Optimization,Spanish,Physics,1,0
119,French,Chemistry,History,Machine Learning,Political Science,Optimization,1,0
120,Biology,Optimization,Spanish,Chemistry,Machine Learning,History,0,0
121,Chinese,Social Science,Biology,Business,Aero Engineering,History,0,0
122,Chemistry,Chinese,Astro Engineering,Political Science,Aero Engineering,Physics,0,0
123,Algebra,Physics,Astro Engineering,Chemistry,Business,Aero Engineering,0,0
124,Physics,Machine Learning,Business,Political Science,Spanish,Social Science,1,0
125,French,Chemistry,Social Science,History,Optimization,English,1,0
126,History,Optimization,Machine Learning,French,Political Science,Physics,0,0
127,Business,Political Science,Optimization,French,Biology,Aero Engineering,0,0
128,History,English,Business,Physics,Chorus1,Chorus2,0,1
129,Physics,Social Science,English,Machine Learning,Aero Engineering,Spanish,0,0
130,French,Spanish,Biology,Business,Chorus1,Chorus2,0,1
131,French,Biology,Astro Engineering,History,Machine Learning,Social Science,1,0
132,Biology,Optimization,French,Aero Engineering,English,Business,1,0
133,French,Optimization,Physics,Chemistry,Machine Learning,Political Science,0,0
134,Business,Social Science,Optimization,Astro Engineering,French,Chinese,0,0
135,Biology,French,Machine Learning,History,Aero Engineering,Chemistry,0,0
136,Political Science,History,Spanish,Physics,Astro Engineering,Algebra,0,0
137,Physics,Biology,History,Aero Engineering,Chinese,English,0,0
138,Biology,Optimization,Business,Algebra,French,Chinese,0,0
139,Aero Engineering,History,Optimization,Spanish,Business,Political Science,0,0
140,Political Science,Social Science,French,Algebra,Chorus1,Chorus2,0,1
141,Spanish,Algebra,Astro Engineering,Physics,Optimization,Biology,1,0
142,Political Science,Biology,Physics,Business,Spanish,Aero Engineering,1,0
143,English,Business,Chemistry,Political Science,Social Science,Physics,0,0
144,French,Biology,Chinese,Political Science,Machine Learning,Social Science,0,0
145,Political Science,Spanish,Biology,Chemistry,Machine Learning,English,0,0
146,Aero Engineering,Machine Learning,Chemistry,Physics,Spanish,Business,0,0
147,French,Physics,Chemistry,Biology,Chorus1,Chorus2,0,1
148,Astro Engineering,Chemistry,French,Machine Learning,Business,Biology,0,0
149,History,Chinese,Physics,Astro Engineering,Social Science,Political Science,1,0
150,Social Science,Chemistry,Biology,Chinese,Astro Engineering,Business,0,0
151,Business,Social Science,Astro Engineering,History,Political Science,English,0,0
152,Aero Engineering,Machine Learning,Physics,Optimization,Chinese,Spanish,0,0
153,French,Aero Engineering,Business,Chinese,Chorus1,Chorus2,0,1
154,Political Science,Algebra,Chinese,Aero Engineering,Business,Chemistry,0,0
155,Machine Learning,Chinese,History,Physics,Business,French,0,0
156,Spanish,Optimization,Aero Engineering,Physics,Astro Engineering,Business,0,0
157,Aero Engineering,English,Machine Learning,Astro Engineering,History,Spanish,0,0
158,French,Aero Engineering,Spanish,Business,Chorus1,Chorus2,0,1
159,Biology,Machine Learning,Political Science,English,Chorus1,Chorus2,0,1
160,Astro Engineering,Aero Engineering,Business,Political Science,Machine Learning,Biology,1,0
161,English,Biology,Aero Engineering,Astro Engineering,Chemistry,Business,1,0
162,Machine Learning,Business,Chinese,Aero Engineering,Spanish,Biology,0,0
163,Chemistry,English,Aero Engineering,Business,Astro Engineering,Optimization,0,0
164,Social Science,French,Astro Engineering,Aero Engineering,Algebra,Chinese,0,0
165,History,Optimization,Social Science,English,Chemistry,Political Science,0,0
166,Aero Engineering,Biology,Chemistry,Social Science,Chorus1,Chorus2,0,1
167,Machine Learning,Chinese,Algebra,Optimization,Business,English,0,0
168,Chemistry,French,Astro Engineering,Aero Engineering,Optimization,Algebra,0,0
169,Chinese,History,Physics,Social Science,Chorus1,Chorus2,0,1
170,Chemistry,Chinese,Political Science,French,Aero Engineering,History,0,0
171,History,Business,Machine Learning,Chinese,Social Science,Astro Engineering,0,0
172,Machine Learning,Social Science,Chemistry,English,Business,History,0,0
173,Business,Astro Engineering,Political Science,Biology,Chinese,French,1,0
174,Spanish,Astro Engineering,Physics,Social Science,Chorus1,Chorus2,0,1
175,Business,Physics,Astro Engineering,English,Optimization,Chemistry,1,0
176,Business,Algebra,English,Chemistry,Optimization,Aero Engineering,0,0
