,Capacity
0,683
1,354
2,349
3,643
4,662
5,668
6,672
7,598
8,634
9,331
10,380
11,676
12,380
13,455
14,305
15,452
16,335
17,346
18,662
19,340
20,695
21,598
22,525
23,434
24,566
25,573
26,576
27,641
28,561
29,625
30,410
31,641
32,362
33,336
34,544
35,510
36,661
37,692
38,437
39,674
40,377
41,529
42,484
43,639
44,346
45,664
46,661
47,320
48,478
49,414
50,432
51,425
52,306
53,504
54,698
55,671
56,420
57,679
58,453
59,456
60,364
61,358
62,480
63,304
64,395
65,408
66,508
67,494
68,538
69,423
70,513
71,698
72,357
73,556
74,605
75,394
76,525
77,498
78,546
79,556
80,488
81,564
82,598
83,435
84,480
85,402
86,440
87,306
88,673
89,633
90,644
91,558
92,415
93,419
94,568
95,566
96,477
97,523
98,347
99,455
100,538
101,303
102,319
103,435
104,434
105,451
106,472
107,493
108,447
109,524
110,364
111,585
112,561
113,500
114,514
115,698
116,416
117,660
118,394
119,424
120,509
121,313
122,539
123,475
124,693
125,636
126,385
127,301
128,618
129,620
130,419
131,689
132,396
133,331
134,393
135,399
136,597
137,334
138,544
139,484
140,311
141,690
142,509
143,464
144,482
145,441
146,416
147,320
148,378
149,545
150,675
151,502
152,586
153,384
154,659
155,514
156,512
157,648
158,402
159,435
160,386
161,453
162,381
163,533
164,642
165,676
166,628
167,441
168,427
169,336
170,471
171,656
172,673
173,457
174,355
175,491
176,540
177,669
178,351
179,339
180,482
181,586
182,347
183,476
184,491
185,690
186,603
187,698
188,331
189,666
190,378
191,561
192,617
193,405
194,301
195,487
196,584
197,462
198,427
199,516
200,395
201,473
202,489
203,553
204,599
205,468
206,549
207,380
208,422
209,608
210,421
211,611
212,515
213,332
214,592
215,435
216,690
217,443
218,633
219,482
220,660
221,382
222,371
223,363
224,443
225,551
226,493
227,516
228,676
229,524
230,395
231,423
232,622
233,521
234,496
235,341
236,661
237,555
238,453
239,657
240,372
241,367
242,632
243,521
244,327
245,394
246,691
247,366
248,675
249,640
250,376
251,476
252,382
253,316
254,506
255,557
256,470
257,304
258,460
259,433
260,641
261,363
262,342
263,375
264,545
265,661
266,634
267,621
268,435
269,517
270,662
271,507
272,355
273,527
274,324
275,485
276,562
277,386
278,618
279,360
280,394
281,490
282,573
283,630
284,493
285,524
286,525
287,510
288,671
289,663
290,652
291,419
292,553
293,352
294,686
295,477
296,414
297,438
298,343
299,411
