,Class0,Class1,Class2,Class3,Class4
0,1,1,1,0,0
1,1,0,1,1,0
2,1,0,1,1,0
3,0,1,1,0,1
4,1,1,0,0,1
5,1,0,1,0,1
6,1,0,0,1,1
7,0,1,0,1,1
8,0,1,1,0,1
9,1,0,0,1,1
10,0,1,1,0,1
11,1,0,0,1,1
12,1,1,0,1,0
13,1,1,0,1,0
14,0,1,0,1,1
15,1,0,1,0,1
16,1,1,1,0,0
17,1,1,1,0,0
18,0,1,1,1,0
19,0,1,0,1,1
20,1,0,0,1,1
21,0,1,0,1,1
22,0,1,1,1,0
23,1,1,0,1,0
24,0,1,0,1,1
25,1,0,0,1,1
26,0,1,1,1,0
27,1,0,1,1,0
28,0,1,1,1,0
29,0,0,1,1,1
30,1,1,1,0,0
31,0,1,1,0,1
32,0,1,1,0,1
33,0,1,1,1,0
34,1,0,1,1,0
35,1,1,0,0,1
36,0,1,1,1,0
37,1,1,1,0,0
38,0,1,0,1,1
39,1,1,0,0,1
40,1,0,1,0,1
41,0,1,1,0,1
42,0,1,1,0,1
43,1,0,1,1,0
44,1,1,0,1,0
45,1,0,1,1,0
46,0,1,0,1,1
47,0,1,1,1,0
48,1,0,1,0,1
49,1,0,1,0,1
50,1,1,1,0,0
51,1,0,0,1,1
52,0,0,1,1,1
53,1,0,0,1,1
54,0,1,1,0,1
55,0,1,0,1,1
56,1,0,1,0,1
57,1,0,1,0,1
58,0,0,1,1,1
59,0,0,1,1,1
60,1,1,1,0,0
61,0,1,0,1,1
62,0,1,1,1,0
63,1,1,0,0,1
64,1,1,0,0,1
65,1,0,1,1,0
66,0,1,0,1,1
67,1,0,0,1,1
68,1,0,1,1,0
69,1,0,0,1,1
70,1,1,0,0,1
71,0,1,0,1,1
72,0,0,1,1,1
73,1,1,0,1,0
74,1,0,1,1,0
75,0,1,0,1,1
76,1,0,1,0,1
77,1,0,1,0,1
78,1,1,0,1,0
79,1,0,0,1,1
80,0,1,1,0,1
81,1,0,0,1,1
82,0,1,1,0,1
83,1,0,1,0,1
84,1,0,1,0,1
85,1,1,0,0,1
86,0,1,1,1,0
87,1,0,1,1,0
88,0,1,1,1,0
89,0,1,0,1,1
90,1,1,0,1,0
91,1,1,0,0,1
92,0,1,1,0,1
93,1,1,0,1,0
94,1,0,1,0,1
95,0,0,1,1,1
96,1,1,1,0,0
97,1,1,0,0,1
98,1,0,1,0,1
99,0,1,1,0,1
100,0,1,1,1,0
101,0,1,1,0,1
102,1,0,1,1,0
103,0,1,1,0,1
104,0,1,1,1,0
105,0,0,1,1,1
106,1,1,0,0,1
107,1,0,0,1,1
108,1,1,0,1,0
109,1,0,1,0,1
110,1,1,1,0,0
111,0,1,1,0,1
112,1,1,0,1,0
113,0,0,1,1,1
114,1,1,0,0,1
115,1,1,0,1,0
116,1,1,0,0,1
117,0,0,1,1,1
118,1,1,0,1,0
119,1,0,1,0,1
120,0,1,0,1,1
121,1,0,0,1,1
122,1,1,1,0,0
123,1,0,1,0,1
124,1,1,0,1,0
125,0,1,1,1,0
126,1,0,1,1,0
127,0,0,1,1,1
128,0,1,1,0,1
