,Capacity
0,47
1,55
2,36
3,54
4,63
5,37
6,64
7,48
8,37
9,33
10,56
11,48
12,44
13,41
14,64
15,40
16,65
17,69
18,60
19,45
20,35
21,49
22,48
23,63
24,67
25,41
26,64
27,60
28,42
29,57
30,66
31,36
32,65
33,45
34,55
35,53
36,42
37,30
38,67
39,49
40,42
41,58
42,58
43,31
44,37
45,56
46,42
47,58
48,60
49,30
50,64
51,60
52,53
53,41
54,54
55,62
56,43
57,30
58,66
59,63
60,58
61,55
62,31
63,66
64,64
65,69
66,35
67,30
68,59
69,63
70,35
71,32
72,37
73,61
74,31
75,42
76,64
77,66
78,42
79,48
80,64
81,45
82,43
83,57
84,69
85,66
86,68
87,35
88,65
89,65
90,58
91,49
92,57
93,58
94,56
95,33
96,53
97,69
98,40
99,36
100,35
101,38
102,54
103,64
104,38
105,49
106,58
107,49
108,66
109,40
110,34
111,43
112,48
113,59
114,38
115,33
116,32
117,44
118,60
119,30
120,35
121,62
122,33
123,56
124,55
125,59
126,65
127,56
128,49
129,34
130,56
131,65
132,37
