,Class0,Class1,Class2,Class3,Class4
0,0,1,1,0,1
1,0,1,1,1,0
2,1,1,1,0,0
3,0,0,1,1,1
4,1,0,1,1,0
5,1,0,0,1,1
6,0,0,1,1,1
7,1,1,1,0,0
8,0,1,1,1,0
9,0,1,1,1,0
10,1,1,0,1,0
11,0,1,1,0,1
12,1,0,1,1,0
13,1,0,1,1,0
14,1,1,1,0,0
15,1,1,1,0,0
16,1,1,0,0,1
17,0,1,1,1,0
18,1,0,1,0,1
19,1,0,1,1,0
20,1,1,1,0,0
21,1,1,1,0,0
22,1,1,0,0,1
23,0,1,0,1,1
24,1,1,0,1,0
25,1,0,1,0,1
26,1,1,0,1,0
27,1,1,1,0,0
28,1,1,0,1,0
29,1,0,0,1,1
30,0,0,1,1,1
31,0,1,1,0,1
32,1,0,1,1,0
33,1,0,1,0,1
34,0,1,1,1,0
35,0,0,1,1,1
36,1,0,1,1,0
37,1,0,0,1,1
38,1,0,0,1,1
39,1,1,0,1,0
40,1,1,0,1,0
41,1,1,0,0,1
42,0,0,1,1,1
43,1,0,1,0,1
44,0,1,1,1,0
45,1,0,1,1,0
46,1,1,0,1,0
47,1,0,1,1,0
48,1,0,1,0,1
49,0,1,0,1,1
50,0,1,1,0,1
51,1,0,0,1,1
52,1,0,1,0,1
53,0,1,0,1,1
54,1,0,0,1,1
55,1,1,1,0,0
56,0,1,1,0,1
57,1,1,1,0,0
58,1,0,1,1,0
59,0,0,1,1,1
60,1,1,0,1,0
61,1,1,0,0,1
62,1,1,1,0,0
63,1,0,0,1,1
64,1,0,0,1,1
65,0,1,1,1,0
66,1,1,1,0,0
67,0,1,1,1,0
68,0,0,1,1,1
69,0,1,1,0,1
70,1,1,0,0,1
71,1,1,0,1,0
72,0,0,1,1,1
73,1,1,0,1,0
74,1,1,1,0,0
75,0,1,1,1,0
76,1,0,1,0,1
77,0,1,1,0,1
78,1,1,1,0,0
79,0,0,1,1,1
80,1,1,0,1,0
81,1,1,1,0,0
82,1,0,1,0,1
83,1,0,1,1,0
84,0,1,1,1,0
85,0,0,1,1,1
86,0,1,0,1,1
87,1,1,1,0,0
88,0,1,1,0,1
89,0,0,1,1,1
90,0,1,1,1,0
91,1,1,0,1,0
92,0,1,1,1,0
93,1,1,1,0,0
94,0,0,1,1,1
95,1,0,1,0,1
96,1,1,1,0,0
97,0,0,1,1,1
98,1,0,1,1,0
99,1,0,1,0,1
100,1,0,0,1,1
101,1,1,1,0,0
102,1,1,0,1,0
103,1,1,0,0,1
104,0,1,0,1,1
105,1,1,0,1,0
106,0,1,1,1,0
107,1,1,1,0,0
108,1,0,0,1,1
109,1,0,1,0,1
110,1,1,0,1,0
111,0,0,1,1,1
112,1,1,0,0,1
113,1,0,0,1,1
114,0,1,1,0,1
115,0,1,0,1,1
116,1,0,0,1,1
117,0,1,1,0,1
118,1,0,1,0,1
119,1,0,1,0,1
120,0,1,1,1,0
121,0,0,1,1,1
122,1,0,1,1,0
123,0,0,1,1,1
124,1,1,0,0,1
125,0,0,1,1,1
126,0,0,1,1,1
127,0,1,1,0,1
128,1,0,1,0,1
129,0,1,0,1,1
130,1,0,1,0,1
131,0,1,0,1,1
132,1,0,0,1,1
133,1,0,0,1,1
134,0,1,1,1,0
135,1,0,1,0,1
136,1,0,1,1,0
137,1,1,0,1,0
138,1,0,1,1,0
139,1,1,1,0,0
140,1,0,0,1,1
141,1,0,1,1,0
142,1,0,1,1,0
143,1,1,1,0,0
144,0,1,1,0,1
145,1,1,0,1,0
146,1,0,0,1,1
147,1,1,1,0,0
148,0,0,1,1,1
149,1,1,0,0,1
150,1,0,1,1,0
151,1,0,0,1,1
152,0,1,1,1,0
153,1,0,1,0,1
154,1,1,0,0,1
155,1,1,0,1,0
156,1,0,0,1,1
157,1,0,1,1,0
158,1,1,0,1,0
159,0,0,1,1,1
160,1,1,0,1,0
161,0,1,1,0,1
162,0,0,1,1,1
163,0,1,1,1,0
164,0,1,0,1,1
165,1,1,1,0,0
166,0,0,1,1,1
167,0,1,1,1,0
168,1,1,1,0,0
169,0,1,1,0,1
170,1,1,0,0,1
171,0,1,0,1,1
172,1,0,1,1,0
173,0,0,1,1,1
174,0,1,0,1,1
175,0,1,1,0,1
176,1,0,0,1,1
177,0,1,1,1,0
178,1,0,1,1,0
179,0,1,1,0,1
180,1,0,1,1,0
181,1,1,0,1,0
182,0,1,0,1,1
183,0,0,1,1,1
184,1,0,1,1,0
185,1,1,0,0,1
186,1,1,1,0,0
187,1,1,0,1,0
188,1,0,1,1,0
189,1,1,0,1,0
190,0,1,1,0,1
191,1,1,0,0,1
192,1,0,1,0,1
193,1,1,0,1,0
194,1,0,1,1,0
195,1,1,0,0,1
196,0,1,1,1,0
197,1,0,0,1,1
198,1,0,1,0,1
199,0,1,0,1,1
200,0,0,1,1,1
201,0,1,1,0,1
202,0,1,1,0,1
203,1,1,0,0,1
204,1,0,1,1,0
205,1,1,0,0,1
206,0,1,1,0,1
207,1,0,1,1,0
208,0,0,1,1,1
209,1,0,0,1,1
210,0,0,1,1,1
211,0,1,1,1,0
212,0,1,1,0,1
213,1,0,0,1,1
214,1,1,0,1,0
215,1,1,0,0,1
216,1,0,1,0,1
217,0,0,1,1,1
218,0,1,1,0,1
219,0,1,1,0,1
220,0,0,1,1,1
221,0,0,1,1,1
222,0,1,0,1,1
223,0,1,1,1,0
224,1,0,1,1,0
225,1,1,0,1,0
226,1,0,0,1,1
227,0,1,1,1,0
228,0,1,1,0,1
229,1,1,0,1,0
230,0,1,1,0,1
231,0,1,0,1,1
232,0,1,1,1,0
233,1,1,0,1,0
234,1,0,0,1,1
235,1,1,0,0,1
236,0,1,0,1,1
237,0,1,1,0,1
238,1,0,0,1,1
239,1,0,0,1,1
240,1,1,0,1,0
241,1,1,0,0,1
242,0,1,0,1,1
243,0,1,1,0,1
244,1,0,1,1,0
245,0,1,1,1,0
246,1,1,0,0,1
247,1,0,1,1,0
248,1,0,1,1,0
249,1,1,0,0,1
250,0,0,1,1,1
251,1,0,1,1,0
252,1,1,1,0,0
253,1,0,1,1,0
254,0,1,0,1,1
255,0,1,1,1,0
256,1,1,0,1,0
257,0,1,0,1,1
258,1,1,0,0,1
259,1,0,0,1,1
260,0,1,0,1,1
261,0,1,1,0,1
262,0,1,1,0,1
263,1,0,1,0,1
264,0,1,1,0,1
265,1,0,1,1,0
266,1,0,0,1,1
267,1,1,0,0,1
268,0,1,1,1,0
269,1,1,0,1,0
270,0,0,1,1,1
271,0,1,0,1,1
272,1,0,0,1,1
273,1,0,0,1,1
274,1,0,1,1,0
275,1,0,1,1,0
276,1,0,1,0,1
277,1,1,0,0,1
278,1,1,1,0,0
