,Class0,Class1,Class2,Class3,Class4
0,0,1,1,1,0
1,1,0,0,1,1
2,1,1,1,0,0
3,0,0,1,1,1
4,1,1,1,0,0
5,1,1,1,0,0
6,1,0,1,1,0
7,1,0,0,1,1
8,1,1,0,0,1
9,0,1,1,0,1
10,1,0,0,1,1
11,1,1,0,1,0
12,0,1,1,1,0
13,1,0,0,1,1
14,0,1,0,1,1
15,1,0,1,1,0
16,0,1,1,1,0
17,1,1,0,1,0
18,0,1,1,0,1
19,0,1,1,0,1
20,0,0,1,1,1
21,1,0,1,0,1
22,1,0,0,1,1
23,0,1,1,0,1
24,0,0,1,1,1
25,0,1,0,1,1
26,1,0,0,1,1
27,1,1,0,0,1
28,0,1,1,0,1
29,1,1,0,0,1
30,0,0,1,1,1
31,0,1,1,1,0
32,1,1,0,1,0
33,0,1,0,1,1
34,0,1,1,0,1
35,1,1,0,0,1
36,0,1,0,1,1
37,0,0,1,1,1
38,1,0,1,0,1
39,1,1,0,1,0
40,1,1,0,0,1
41,0,1,0,1,1
42,0,1,0,1,1
43,1,0,1,1,0
44,1,0,0,1,1
45,0,1,1,1,0
46,1,1,0,1,0
47,0,1,1,1,0
48,0,0,1,1,1
49,1,1,0,1,0
50,0,1,1,1,0
51,0,0,1,1,1
52,0,1,0,1,1
53,1,0,0,1,1
54,1,0,1,1,0
55,0,0,1,1,1
56,1,0,1,1,0
57,1,1,0,1,0
58,0,1,1,1,0
59,0,1,1,0,1
