,Class0,Class1,Class2,Class3,Class4
0,0,1,1,0,1
1,0,1,1,1,0
2,0,1,1,1,0
3,0,1,1,1,0
4,1,1,1,0,0
5,1,0,1,1,0
6,0,1,1,0,1
7,1,0,1,0,1
8,0,1,1,1,0
9,1,0,0,1,1
10,1,0,1,0,1
11,1,1,0,0,1
12,0,1,0,1,1
13,1,1,1,0,0
14,0,0,1,1,1
15,1,0,0,1,1
16,1,0,1,1,0
17,0,1,0,1,1
18,1,1,0,0,1
19,0,1,1,0,1
20,0,1,1,1,0
21,1,1,0,0,1
22,0,1,1,1,0
23,0,1,1,0,1
24,0,1,1,1,0
25,0,0,1,1,1
26,0,1,1,1,0
27,1,1,0,0,1
28,1,0,1,1,0
29,0,1,1,0,1
30,0,0,1,1,1
31,1,0,0,1,1
32,1,0,1,0,1
33,0,1,0,1,1
34,0,1,0,1,1
35,0,1,1,1,0
36,1,0,0,1,1
37,1,1,1,0,0
38,1,1,0,1,0
39,0,1,1,0,1
40,1,0,1,0,1
41,0,1,0,1,1
42,0,1,0,1,1
43,0,1,0,1,1
44,1,1,1,0,0
45,0,1,1,0,1
46,1,0,0,1,1
47,1,0,1,0,1
48,1,1,0,1,0
49,0,1,0,1,1
