,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0
4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
5,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
7,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
8,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
9,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
10,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
11,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1
12,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
13,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
14,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
15,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
16,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
17,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
18,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
19,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0
20,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
21,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
23,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
24,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
25,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
26,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
27,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
28,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
29,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
30,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
31,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
32,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
33,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
34,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
35,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
36,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
37,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
38,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
