,Capacity
0,677
1,410
2,524
3,302
4,369
5,451
6,603
7,666
8,588
9,583
10,500
11,687
12,553
13,351
14,622
15,319
16,638
17,386
18,332
19,423
20,538
21,493
22,446
23,500
24,380
25,331
26,468
27,599
28,414
29,672
30,301
31,694
32,660
33,650
34,418
35,379
36,443
37,433
38,489
39,439
40,301
41,321
42,498
43,391
44,367
45,525
46,494
47,694
48,674
49,479
50,512
51,340
52,338
53,352
54,499
55,372
56,469
57,632
58,414
59,431
60,612
61,628
62,385
63,662
64,332
65,332
66,654
67,492
68,361
69,452
70,506
71,346
72,453
73,321
74,656
75,479
76,463
77,457
78,595
79,454
80,643
81,623
82,577
83,623
84,698
85,362
86,426
87,343
88,328
89,367
90,439
91,538
92,457
93,522
94,386
95,480
96,374
97,399
98,532
99,560
