,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1
5,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
7,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
8,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
9,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1
10,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
11,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
12,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
13,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
14,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
15,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0
16,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
17,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
18,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
19,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
20,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
21,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
22,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
23,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
24,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
25,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
26,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
27,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
28,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
29,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
30,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
31,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
32,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
33,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
34,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
35,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
36,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
37,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
38,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0
39,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
40,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
41,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
42,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
43,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
44,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
45,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
46,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
47,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
48,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
49,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
50,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
51,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0
52,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
53,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
54,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
