,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Physics,Aero Engineering,Astro Engineering,Chemistry,Algebra,Business,0,0
1,Business,Biology,History,Social Science,Optimization,Chinese,0,0
2,Algebra,Business,Optimization,English,Chemistry,French,0,0
3,Machine Learning,Political Science,Chinese,Social Science,Chorus1,Chorus2,0,1
4,Business,Political Science,Aero Engineering,Chemistry,Machine Learning,French,0,0
5,History,Machine Learning,English,French,Aero Engineering,Spanish,0,0
6,Physics,Chinese,History,English,Chemistry,Political Science,0,0
7,Astro Engineering,Physics,French,English,Chorus1,Chorus2,0,1
8,Algebra,Chinese,Political Science,Business,French,Aero Engineering,0,0
9,Chinese,Business,English,French,Chorus1,Chorus2,0,1
10,Chemistry,Astro Engineering,Algebra,Aero Engineering,Political Science,French,0,0
11,Algebra,English,Machine Learning,Astro Engineering,Physics,Chinese,0,0
12,English,Business,Chinese,Machine Learning,Political Science,Biology,1,0
13,Physics,Astro Engineering,History,English,Business,Chemistry,0,0
14,French,Aero Engineering,Optimization,Machine Learning,Algebra,Chemistry,0,0
15,Biology,French,Machine Learning,Astro Engineering,Political Science,Aero Engineering,0,0
16,Spanish,Aero Engineering,Astro Engineering,Social Science,Chorus1,Chorus2,0,1
17,Biology,Chinese,Aero Engineering,English,Astro Engineering,History,0,0
18,Political Science,Physics,Spanish,Chemistry,History,French,0,0
19,Aero Engineering,French,English,Spanish,Chorus1,Chorus2,0,1
20,Astro Engineering,Optimization,English,Political Science,Business,Aero Engineering,0,0
21,Machine Learning,Physics,Chemistry,Business,Biology,French,0,0
22,English,Optimization,Social Science,Aero Engineering,Spanish,Biology,0,0
23,Business,Spanish,Optimization,English,French,History,0,0
24,French,Physics,Algebra,English,Chinese,History,1,0
25,English,Chemistry,Biology,Political Science,Machine Learning,Chinese,0,0
26,Social Science,Chemistry,Algebra,French,Biology,Optimization,1,0
27,Spanish,Algebra,Optimization,Business,Chorus1,Chorus2,0,1
28,Astro Engineering,Algebra,Chemistry,French,Chinese,Physics,0,0
29,History,Physics,Aero Engineering,Spanish,French,Social Science,0,0
30,Algebra,Physics,Chemistry,Aero Engineering,Chorus1,Chorus2,0,1
31,Business,Social Science,English,Chemistry,Aero Engineering,Biology,0,0
32,English,Astro Engineering,Chemistry,French,Machine Learning,Chinese,0,0
33,Political Science,English,Physics,Business,Biology,Spanish,0,0
34,History,Chemistry,Business,Algebra,Chorus1,Chorus2,0,1
35,Political Science,Astro Engineering,Social Science,Business,Optimization,English,0,0
