,Class,PeriodsA,PeriodsB
0,History,"[6, 1]","[3, 6, 5]"
1,Biology,"[3, 1, 5]","[3, 0, 4, 7]"
2,Chemistry,"[4, 3, 0, 1]","[6, 3, 7]"
3,Physics,"[6, 5, 1, 4]","[0, 3]"
4,English,[],"[7, 3, 5, 4]"
5,Optimization,"[5, 4, 7, 6]","[4, 6, 7]"
6,Machine Learning,"[2, 6, 1, 5]","[3, 0]"
7,Business,"[3, 6, 5, 0]","[5, 3]"
8,Astro Engineering,"[0, 4]","[5, 7, 0]"
9,Aero Engineering,"[3, 5]","[0, 1, 2]"
10,Political Science,"[3, 5, 7]","[2, 3, 5, 6]"
11,Social Science,"[7, 0]",[]
12,Chinese,"[5, 0, 4, 2]","[7, 6]"
13,French,"[6, 0, 2, 1]","[6, 2, 1, 7]"
14,Spanish,"[5, 4]",[]
15,Algebra,"[3, 0, 5, 1]",[]
