,Capacity
0,70
1,31
2,57
3,68
4,32
5,58
6,37
7,43
8,48
9,70
10,47
11,61
12,52
13,65
14,70
15,32
16,52
17,45
18,53
19,36
20,41
21,48
22,59
23,57
24,39
25,44
26,69
27,56
28,37
29,44
30,56
31,42
32,37
33,41
34,36
35,41
36,59
37,58
38,51
39,49
40,37
41,61
42,40
43,36
44,43
45,49
46,37
47,57
48,53
49,56
50,60
51,36
52,32
53,37
54,49
55,34
56,34
57,39
58,65
59,50
60,54
61,67
62,66
63,60
64,40
65,57
66,64
67,43
68,36
69,58
70,57
71,32
72,61
73,30
74,36
75,50
76,42
77,36
78,64
79,35
80,36
81,39
82,70
83,50
84,51
85,66
86,31
87,32
88,30
89,48
90,70
91,39
92,50
93,56
94,57
95,70
96,39
97,32
98,30
99,34
100,46
101,58
102,42
103,49
104,43
105,47
106,62
107,45
108,62
109,66
110,51
111,53
112,61
113,48
114,45
115,52
116,60
117,36
118,36
119,32
120,67
121,59
122,53
123,68
124,65
125,49
126,34
127,30
128,60
129,31
130,67
131,63
132,41
133,64
134,41
135,30
136,34
137,33
138,32
139,65
140,52
141,38
142,47
143,41
144,49
145,70
146,36
147,39
148,50
149,45
150,69
151,46
152,51
153,32
154,31
155,42
156,34
157,61
158,66
159,47
160,63
161,63
162,43
163,44
164,49
165,62
