,Class0,Class1,Class2,Class3,Class4
0,0,1,1,0,1
1,1,1,0,0,1
2,0,0,1,1,1
3,1,0,0,1,1
4,1,0,0,1,1
5,0,0,1,1,1
6,1,1,1,0,0
7,1,1,0,1,0
8,0,0,1,1,1
9,0,0,1,1,1
10,1,1,0,1,0
11,1,1,0,0,1
12,0,1,1,0,1
13,1,1,0,0,1
14,1,1,0,1,0
15,1,1,0,0,1
16,1,0,1,0,1
17,1,0,1,0,1
18,0,0,1,1,1
19,0,1,1,0,1
20,1,1,0,1,0
21,0,1,1,0,1
22,1,1,0,1,0
23,0,0,1,1,1
24,0,1,1,0,1
25,0,0,1,1,1
26,1,0,0,1,1
27,0,1,1,1,0
28,0,1,1,1,0
29,1,0,1,0,1
30,1,0,0,1,1
31,1,0,1,1,0
32,1,0,1,1,0
33,1,1,0,0,1
34,1,1,0,0,1
35,1,0,1,1,0
36,1,0,1,0,1
37,1,1,0,1,0
38,1,1,1,0,0
39,1,0,1,1,0
40,0,1,1,1,0
41,1,1,0,1,0
42,1,0,0,1,1
43,1,0,1,1,0
44,1,0,1,0,1
45,1,1,0,1,0
46,1,1,0,1,0
47,1,0,1,1,0
48,1,1,0,1,0
49,1,0,1,1,0
50,0,1,1,0,1
51,0,1,1,0,1
52,0,1,1,0,1
53,1,0,1,0,1
54,0,1,1,0,1
55,0,0,1,1,1
56,1,1,1,0,0
57,1,0,1,0,1
58,0,1,1,1,0
59,0,1,0,1,1
60,1,0,1,1,0
61,0,1,1,1,0
62,1,1,1,0,0
63,1,0,1,0,1
64,0,0,1,1,1
65,1,1,0,0,1
66,1,1,0,0,1
67,0,1,1,1,0
68,1,1,0,0,1
69,1,0,1,0,1
70,1,0,1,0,1
71,1,0,1,1,0
72,1,1,0,0,1
73,1,0,1,0,1
74,1,0,0,1,1
75,1,0,1,0,1
76,1,1,1,0,0
77,1,1,0,1,0
78,1,1,0,0,1
79,1,1,0,0,1
80,1,0,1,1,0
81,0,0,1,1,1
82,1,1,1,0,0
83,1,1,1,0,0
84,1,1,0,1,0
85,0,1,1,1,0
86,1,1,1,0,0
87,0,1,1,1,0
88,0,1,1,1,0
89,1,1,1,0,0
90,1,0,0,1,1
91,1,0,1,0,1
92,0,1,1,1,0
93,1,0,1,1,0
94,0,1,1,1,0
95,1,0,0,1,1
96,0,1,1,0,1
97,0,1,0,1,1
98,1,1,0,0,1
99,1,0,1,1,0
100,1,1,0,1,0
101,0,0,1,1,1
102,1,1,0,1,0
103,1,0,1,0,1
104,0,0,1,1,1
105,1,0,1,0,1
106,0,1,0,1,1
107,0,1,1,0,1
108,1,0,1,0,1
109,1,0,1,0,1
110,1,1,0,1,0
111,1,0,0,1,1
112,1,1,0,0,1
113,1,0,1,0,1
114,0,1,0,1,1
115,0,1,1,1,0
116,1,0,1,1,0
117,0,1,0,1,1
118,0,0,1,1,1
119,1,1,0,0,1
120,1,0,1,1,0
121,0,1,0,1,1
122,1,1,1,0,0
123,0,1,0,1,1
124,1,0,1,1,0
125,0,1,0,1,1
126,0,1,1,0,1
127,1,1,0,0,1
128,1,0,1,1,0
129,1,0,1,0,1
130,0,0,1,1,1
131,1,1,0,1,0
132,1,0,1,1,0
133,1,1,0,1,0
134,0,1,0,1,1
135,1,1,0,0,1
136,0,1,1,1,0
137,0,0,1,1,1
138,0,1,1,0,1
139,1,0,1,1,0
140,0,1,0,1,1
141,1,0,0,1,1
142,1,1,0,0,1
143,1,0,1,1,0
144,1,0,1,0,1
145,1,0,1,1,0
146,1,0,1,0,1
147,0,1,0,1,1
148,0,0,1,1,1
149,1,1,0,0,1
150,0,0,1,1,1
151,1,0,1,0,1
152,1,0,1,1,0
153,1,0,0,1,1
154,0,0,1,1,1
155,0,0,1,1,1
156,1,1,1,0,0
157,1,0,0,1,1
158,1,1,0,0,1
159,1,1,0,1,0
160,1,1,1,0,0
161,1,0,0,1,1
162,0,1,1,0,1
163,1,1,0,1,0
164,1,0,1,1,0
165,1,1,1,0,0
166,1,1,1,0,0
167,0,1,1,0,1
168,1,0,0,1,1
169,0,1,1,1,0
170,1,0,0,1,1
171,0,1,0,1,1
172,0,1,1,0,1
173,0,1,0,1,1
174,0,1,0,1,1
175,0,0,1,1,1
176,1,1,1,0,0
177,1,0,1,0,1
178,0,1,1,1,0
179,0,1,1,0,1
180,1,1,0,0,1
181,1,0,0,1,1
182,1,0,0,1,1
183,0,1,1,1,0
184,0,1,1,0,1
185,0,1,1,0,1
186,0,0,1,1,1
187,0,1,1,1,0
188,1,1,1,0,0
189,1,1,1,0,0
190,1,0,1,1,0
191,1,1,0,1,0
192,0,1,1,1,0
193,1,1,1,0,0
194,1,0,1,0,1
195,1,1,0,0,1
196,1,0,1,0,1
197,0,1,1,0,1
198,0,1,1,0,1
199,1,0,1,1,0
