,Class0,Class1,Class2,Class3,Class4
0,1,0,1,1,0
1,0,1,1,0,1
2,1,1,0,1,0
3,0,1,1,1,0
4,0,0,1,1,1
5,1,1,0,0,1
6,0,1,0,1,1
7,1,0,0,1,1
8,1,1,0,0,1
9,0,0,1,1,1
10,1,0,0,1,1
11,1,1,0,0,1
12,1,0,0,1,1
13,1,1,0,0,1
14,1,0,1,0,1
15,0,1,1,0,1
16,0,0,1,1,1
17,1,0,0,1,1
18,0,1,1,1,0
19,0,1,0,1,1
20,1,1,0,0,1
21,1,1,0,0,1
22,1,0,0,1,1
23,1,0,1,0,1
24,0,0,1,1,1
25,1,1,1,0,0
26,1,0,1,0,1
27,1,1,0,0,1
28,1,0,0,1,1
29,1,0,0,1,1
30,1,0,1,1,0
31,1,1,1,0,0
32,0,1,1,1,0
33,0,0,1,1,1
34,1,0,0,1,1
35,0,1,0,1,1
36,0,1,0,1,1
37,1,0,1,1,0
38,0,0,1,1,1
39,0,0,1,1,1
40,0,1,1,0,1
41,1,0,0,1,1
42,0,0,1,1,1
43,0,1,0,1,1
44,0,1,0,1,1
45,0,1,0,1,1
46,1,0,1,0,1
47,1,0,0,1,1
48,1,0,0,1,1
49,1,0,1,1,0
50,1,1,0,1,0
51,1,1,0,0,1
52,0,0,1,1,1
53,1,1,0,1,0
54,0,0,1,1,1
55,0,1,1,1,0
56,1,1,0,0,1
57,0,1,0,1,1
58,0,1,1,1,0
59,1,1,0,0,1
60,1,1,0,1,0
61,0,1,1,0,1
62,1,0,1,1,0
63,1,1,0,0,1
64,1,1,0,1,0
65,1,1,0,1,0
66,1,0,0,1,1
67,0,1,0,1,1
68,0,1,0,1,1
69,0,1,1,0,1
70,1,1,0,1,0
71,0,0,1,1,1
72,0,1,1,1,0
73,1,0,1,0,1
74,0,1,1,0,1
75,0,0,1,1,1
76,1,0,1,0,1
77,0,1,1,0,1
78,1,1,0,0,1
79,0,0,1,1,1
