,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0
4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
6,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
7,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
8,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
9,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0
10,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
11,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
12,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
13,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
14,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
15,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
16,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
17,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
18,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
19,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
20,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
21,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
22,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
23,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
24,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
25,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
26,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
27,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
28,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
29,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
30,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0
31,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
32,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
33,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
34,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
35,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
36,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
37,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
38,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
39,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
40,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1
41,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
42,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
43,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
