,Capacity
0,530
1,416
2,681
3,342
4,323
5,359
6,584
7,634
8,310
9,599
10,560
11,306
12,392
13,487
14,626
15,585
16,548
17,553
18,320
19,671
20,624
21,442
22,612
23,581
24,652
25,606
26,529
27,664
28,410
29,565
30,682
31,664
32,357
33,502
34,342
35,541
36,334
37,510
38,324
39,340
40,391
41,431
42,500
43,568
44,626
45,400
46,400
47,316
48,640
49,642
50,654
51,400
52,641
53,614
54,675
55,529
56,621
57,693
58,404
59,368
60,487
61,682
62,626
63,303
64,671
65,344
66,486
67,383
68,390
69,583
70,681
71,628
72,432
73,559
74,342
75,519
76,313
77,380
78,598
79,466
80,694
81,584
82,499
83,363
84,671
85,692
86,595
87,307
88,343
89,614
90,683
91,635
92,523
93,492
94,378
95,328
96,665
97,494
98,575
99,515
