,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
3,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
4,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
5,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0
6,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
8,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
9,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
10,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
11,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
12,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
13,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
14,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
15,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
16,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
17,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
18,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
19,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
20,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
21,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
22,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1
24,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
25,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
26,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
27,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
28,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
29,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0
30,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
31,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
32,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
33,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
34,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1
35,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
36,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
37,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0
38,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
39,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
40,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0
41,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
42,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
43,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
44,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
45,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
46,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
47,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
48,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
49,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
50,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
51,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
52,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
53,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
54,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
55,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
56,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
57,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1
58,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
59,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
60,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
61,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
62,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
63,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
64,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
65,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
66,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
67,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
68,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
69,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
70,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
71,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
72,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
73,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
74,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
75,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
76,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
77,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
78,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1
79,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0
80,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
81,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
82,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
83,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
84,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1
85,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
86,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
87,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
88,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
89,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
90,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
91,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
92,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
