,Class0,Class1,Class2,Class3,Class4
0,0,1,0,1,1
1,0,1,1,1,0
2,0,1,0,1,1
3,1,1,0,0,1
4,1,1,0,1,0
5,0,1,0,1,1
6,0,1,1,0,1
7,0,1,1,0,1
8,0,1,0,1,1
9,1,0,0,1,1
10,1,1,0,0,1
11,1,1,0,1,0
12,0,0,1,1,1
13,1,0,1,0,1
14,0,1,1,0,1
15,1,1,1,0,0
16,1,0,1,0,1
17,1,1,0,1,0
18,1,1,0,0,1
19,1,0,1,1,0
20,1,0,1,0,1
21,0,0,1,1,1
22,0,0,1,1,1
23,0,1,0,1,1
24,0,1,0,1,1
25,0,1,1,1,0
26,1,1,0,0,1
27,1,0,1,0,1
28,1,0,0,1,1
29,1,0,1,1,0
30,1,1,0,0,1
31,0,1,1,0,1
32,0,0,1,1,1
33,1,1,0,1,0
34,0,1,1,0,1
35,1,1,1,0,0
36,1,0,1,0,1
37,1,1,0,0,1
38,1,0,1,1,0
39,0,1,1,1,0
40,1,0,1,0,1
41,1,1,0,0,1
42,0,1,0,1,1
43,0,0,1,1,1
44,0,1,0,1,1
45,0,1,1,1,0
46,1,0,1,1,0
47,0,1,1,1,0
48,1,1,1,0,0
49,0,1,0,1,1
50,0,0,1,1,1
51,0,0,1,1,1
52,1,1,1,0,0
53,1,0,0,1,1
54,0,0,1,1,1
55,0,1,1,0,1
56,0,1,1,1,0
57,1,0,1,1,0
58,1,1,0,0,1
59,0,1,1,1,0
60,0,1,1,0,1
61,1,0,1,0,1
62,1,1,0,1,0
63,0,1,1,0,1
64,0,0,1,1,1
65,1,0,1,0,1
66,1,0,0,1,1
67,0,1,1,0,1
68,1,1,1,0,0
69,0,1,0,1,1
70,1,0,0,1,1
71,0,1,0,1,1
72,0,1,0,1,1
73,1,1,1,0,0
74,1,0,1,1,0
75,1,0,1,0,1
76,1,1,0,1,0
77,0,1,1,0,1
78,1,0,1,1,0
79,1,0,1,1,0
80,1,0,0,1,1
81,1,1,0,0,1
82,1,1,0,0,1
83,1,0,1,0,1
84,1,1,1,0,0
85,1,1,0,0,1
86,1,0,1,1,0
87,0,1,0,1,1
88,1,1,1,0,0
89,1,1,1,0,0
