,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
5,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
6,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
7,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
8,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
10,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1
11,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
12,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
13,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
14,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
15,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
16,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
17,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0
18,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
19,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
20,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
21,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
22,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
23,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
24,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0
25,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
26,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
27,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
28,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
29,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
30,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
31,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
32,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0
33,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
34,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
35,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
36,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
37,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
38,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
39,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
40,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
42,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
43,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
44,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
45,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
46,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
47,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
48,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
49,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
50,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
51,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
53,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
54,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
55,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
56,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
57,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
58,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
59,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
60,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
61,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
62,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1
63,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
64,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
65,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
66,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
67,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
68,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
69,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
70,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
71,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
