,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
3,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
5,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
7,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
8,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0
9,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
10,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
11,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
12,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
13,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1
14,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
15,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
16,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
17,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
18,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
19,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1
20,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
21,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
23,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
24,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
25,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
26,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0
27,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
28,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
29,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
30,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
31,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
32,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
33,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
34,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
35,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
36,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
37,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
38,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
39,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
40,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
41,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
42,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
43,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
44,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
45,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
46,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
47,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
48,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
49,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
50,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
51,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0
52,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
53,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
54,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
55,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
56,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
57,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
58,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
59,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
61,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
62,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
63,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
64,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0
65,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
66,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
67,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
68,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
69,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
70,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
71,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
