,Class,PeriodsA,PeriodsB
0,History,[],"[2, 5, 3]"
1,Biology,[],"[0, 1]"
2,Chemistry,"[6, 0, 1]","[6, 5, 7, 4]"
3,Physics,[],"[1, 4, 3]"
4,English,"[5, 6, 0, 2]","[2, 0, 4, 7]"
5,Optimization,"[6, 0, 7]","[7, 3, 5, 4]"
6,Machine Learning,"[1, 6, 7, 0]","[1, 0]"
7,Business,"[0, 5, 1]","[7, 5]"
8,Astro Engineering,"[3, 6]","[7, 0]"
9,Aero Engineering,"[5, 0, 4]","[3, 1]"
10,Political Science,"[6, 2, 1]","[6, 1, 7, 3]"
11,Social Science,"[3, 0, 7]","[4, 3, 7, 5]"
12,Chinese,"[3, 2]","[6, 4, 0]"
13,French,"[0, 3]",[]
14,Spanish,"[5, 0, 3, 7]","[0, 4, 7, 3]"
15,Algebra,"[7, 4, 6, 0]",[]
