,Capacity
0,659
1,665
2,695
3,347
4,633
5,339
6,300
7,613
8,481
9,355
10,473
11,428
12,512
13,626
14,321
15,335
16,652
17,504
18,664
19,436
20,441
21,493
22,697
23,532
24,637
25,647
26,312
27,588
28,381
29,411
30,473
31,420
32,589
33,607
34,589
35,599
36,683
37,647
38,364
39,631
40,700
41,571
42,629
43,364
44,304
45,333
46,612
47,385
48,516
49,306
50,313
51,439
52,332
53,411
54,624
55,600
56,333
57,459
58,560
59,578
60,600
61,520
62,566
63,517
64,502
65,492
66,413
67,342
68,680
69,363
70,679
71,489
72,501
73,494
74,675
75,560
76,311
77,650
78,477
79,642
80,338
81,653
82,555
83,391
84,367
85,577
86,534
87,524
88,456
89,634
90,636
91,622
92,330
93,461
94,466
95,569
96,555
97,406
98,339
99,470
100,535
101,604
102,325
103,529
104,536
105,443
106,533
107,544
108,302
109,404
110,442
111,347
112,555
113,368
114,697
115,376
116,401
117,390
118,548
119,504
120,477
121,363
122,529
123,523
124,512
125,630
126,392
127,497
128,447
129,343
130,324
131,498
132,399
133,486
134,351
135,454
136,454
137,428
138,605
139,456
140,303
141,529
142,389
143,535
144,354
145,660
146,409
147,445
148,384
149,599
150,692
151,665
152,469
153,684
154,488
155,685
156,373
157,500
158,533
159,626
160,610
161,655
162,648
163,429
164,553
165,556
166,391
167,460
168,375
169,379
170,489
171,623
172,366
173,610
174,492
175,374
176,481
177,666
178,629
179,624
180,366
181,524
182,579
183,538
184,617
185,457
186,495
187,560
188,556
189,566
190,654
191,302
192,423
193,457
194,549
195,373
196,575
197,455
198,648
199,478
