,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
4,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0
5,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
6,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
8,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
10,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
11,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
12,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
13,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
14,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
16,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
17,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
19,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
20,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
21,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
22,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
23,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
24,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
25,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
26,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
27,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
28,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
29,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
30,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
32,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
33,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
34,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
35,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
36,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
37,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
38,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
39,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
40,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
41,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
43,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
44,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
45,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
46,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
47,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
48,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
49,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
50,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
51,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
52,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
53,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
54,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
55,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
56,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
57,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
58,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
59,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
60,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
61,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0
62,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
63,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
64,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
65,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
66,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
67,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0
68,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
