,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Chinese,Chemistry,Biology,Algebra,Political Science,Aero Engineering,0,0
1,Chemistry,Political Science,English,Social Science,Algebra,Business,0,0
2,Aero Engineering,Chemistry,Algebra,French,Biology,Social Science,0,0
3,Biology,French,English,Machine Learning,Chemistry,Political Science,1,0
4,Machine Learning,Physics,Chinese,Astro Engineering,English,History,1,0
5,Social Science,Optimization,Chemistry,Machine Learning,Chorus1,Chorus2,0,1
6,English,History,Astro Engineering,Social Science,Chorus1,Chorus2,0,1
7,Social Science,French,Optimization,Machine Learning,Biology,Spanish,0,0
8,Astro Engineering,History,Social Science,Biology,Chorus1,Chorus2,0,1
9,English,Physics,Algebra,Optimization,Biology,Machine Learning,0,0
10,Algebra,Business,Machine Learning,Social Science,English,Physics,1,0
11,Optimization,Aero Engineering,Social Science,History,Physics,Political Science,0,0
12,Biology,History,English,Machine Learning,Chorus1,Chorus2,0,1
13,Physics,Business,French,Political Science,Astro Engineering,History,0,0
14,History,Algebra,Biology,Political Science,Machine Learning,Spanish,0,0
15,Physics,Aero Engineering,Astro Engineering,Chemistry,English,Business,0,0
16,History,Chemistry,Aero Engineering,Chinese,Machine Learning,Spanish,0,0
17,French,Chinese,Machine Learning,Astro Engineering,Chemistry,Biology,0,0
18,Business,Aero Engineering,Physics,French,Astro Engineering,History,0,0
19,Machine Learning,Political Science,Physics,History,Social Science,Business,0,0
20,Chemistry,Social Science,Chinese,Algebra,Aero Engineering,English,1,0
21,Optimization,Machine Learning,Social Science,Astro Engineering,Chorus1,Chorus2,0,1
22,Political Science,English,Chemistry,Aero Engineering,Astro Engineering,Optimization,0,0
23,Business,Aero Engineering,Astro Engineering,English,French,Chemistry,0,0
24,Aero Engineering,History,Algebra,Chinese,Business,Optimization,1,0
25,Political Science,English,Aero Engineering,History,Chorus1,Chorus2,0,1
26,Chemistry,Chinese,Machine Learning,Physics,Biology,English,0,0
27,Biology,History,French,Spanish,Optimization,English,0,0
28,Social Science,Spanish,Astro Engineering,Machine Learning,Business,Political Science,1,0
29,Optimization,Algebra,Social Science,History,English,Chinese,0,0
30,Business,English,Spanish,Biology,Aero Engineering,Machine Learning,0,0
31,Algebra,English,French,Astro Engineering,Chorus1,Chorus2,0,1
32,Business,Social Science,Physics,Chemistry,English,Biology,0,0
33,English,French,Political Science,Biology,History,Aero Engineering,0,0
34,Chemistry,Social Science,Machine Learning,Aero Engineering,History,Optimization,0,0
35,Business,Chemistry,Physics,Political Science,Spanish,Social Science,0,0
36,French,Chinese,Social Science,English,Optimization,Business,0,0
37,History,Spanish,Business,Political Science,Chorus1,Chorus2,0,1
38,Chinese,Business,Optimization,History,Machine Learning,Aero Engineering,0,0
