,Capacity
0,431
1,328
2,439
3,654
4,403
5,575
6,332
7,491
8,657
9,561
10,605
11,598
12,695
13,617
14,376
15,555
16,470
17,688
18,488
19,309
20,427
21,583
22,321
23,638
24,625
25,442
26,545
27,480
28,385
29,514
30,658
31,575
32,465
33,620
34,322
35,635
36,387
37,465
38,336
39,460
40,330
41,342
42,589
43,499
44,323
45,523
46,568
47,488
48,596
49,541
50,523
51,368
52,507
53,510
54,372
55,370
56,609
57,468
58,343
59,556
60,668
61,424
62,686
63,481
64,351
65,351
66,438
67,482
68,617
69,455
70,408
71,424
72,384
73,645
74,370
75,670
76,596
77,617
78,654
79,543
80,529
81,349
82,350
83,382
84,413
85,518
86,519
87,683
88,542
89,305
90,371
91,305
92,546
93,658
94,545
95,562
96,357
97,364
98,340
99,685
100,424
101,361
102,619
103,376
104,469
105,592
106,423
107,411
108,489
109,394
110,593
111,522
112,354
113,531
114,345
115,481
116,664
117,517
118,582
119,372
120,410
121,443
122,498
123,631
124,671
125,386
126,416
127,513
128,683
129,380
130,509
131,495
132,398
133,543
134,327
135,440
136,599
137,375
138,479
139,396
140,685
141,509
142,639
143,590
144,569
145,366
146,448
147,546
148,362
149,333
150,339
151,358
152,669
153,586
154,657
155,309
156,620
157,572
158,592
159,636
160,674
161,452
162,376
163,655
164,446
165,434
166,586
167,391
168,664
169,483
170,368
171,692
172,306
173,379
174,502
175,420
176,466
177,339
178,367
179,652
180,520
181,407
182,623
183,359
184,539
185,438
186,533
187,373
188,525
189,493
190,674
191,669
192,403
193,683
194,440
195,488
196,568
197,418
198,669
199,507
200,520
201,403
202,655
203,341
204,502
205,678
206,424
207,666
208,628
209,628
210,646
211,524
212,412
213,614
214,518
215,542
216,619
217,604
218,323
219,666
220,389
221,637
222,653
223,564
224,663
225,482
226,395
227,549
228,663
229,484
230,408
231,364
232,313
