,Class,PeriodsA,PeriodsB
0,History,"[1, 6, 4, 5]","[7, 0, 3]"
1,Biology,"[7, 6]","[6, 7, 3, 4]"
2,Chemistry,"[5, 3, 6, 4]",[]
3,Physics,"[2, 5, 7, 6]","[6, 2, 7]"
4,English,"[3, 0, 4, 5]","[0, 4]"
5,Optimization,"[3, 2, 0, 6]",[]
6,Machine Learning,"[5, 7, 4, 6]","[7, 5]"
7,Business,"[1, 7, 0]","[5, 7, 0, 3]"
8,Astro Engineering,[],"[4, 3, 1]"
9,Aero Engineering,"[4, 7, 5, 6]","[0, 5, 7, 3]"
10,Political Science,"[4, 1]","[0, 5]"
11,Social Science,"[4, 0]","[7, 4, 6, 3]"
12,Chinese,"[1, 7, 2, 0]","[1, 7, 6, 2]"
13,French,"[0, 4, 7, 6]","[0, 6, 7, 3]"
14,Spanish,"[1, 0, 7]","[2, 7]"
15,Algebra,"[4, 3]",[]
